X,Y,Tm,P,tree_genus,BURNCLAS
-106.995661495057,55.8445076327843,19.8,96.2,Pice,4.0
-99.2147061640052,56.3831217688411,18.0,43.7,Pice,4.0
-89.6727164614695,56.323228998661,13.0,61.8,Pice,4.0
-99.4094251266186,56.3177005965063,18.0,43.7,Pinu,4.0
-98.9196090674839,56.2992140290076,18.0,43.7,Pinu,4.0
-112.821927215701,54.9246479910888,9.2,50.4,Pice,4.0
-97.0896400142713,56.2955484664193,18.0,43.7,Pice,4.0
-106.26868118386,55.7242131300824,19.7,85.2,Pice,4.0
-92.074700889521,56.275408385475,18.3,60.4,Pice,4.0
-56.9218521280032,48.9234032182953,13.0,7.6,Pice,4.0
-102.853686162176,55.8419708827481,19.7,47.6,Pice,4.0
-105.668931759724,55.5946971849371,15.4,38.0,Pinu,4.0
-103.148974916924,55.6982138860734,18.6,54.2,Pinu,4.0
-123.635539994184,52.0303300032157,7.3,7.2,Pseu,4.0
-66.8884034481956,52.0574367804094,14.4,69.3,Pice,4.0
-103.193736414416,55.4934339004148,19.7,47.6,Popu,4.0
-95.5926116639325,55.794657479684,18.3,60.4,Pice,4.0
-73.7562752100638,53.5167331547405,14.9,54.0,Genc,4.0
-102.090871925251,55.5317892356622,19.7,47.6,Pinu,4.0
-65.2330966138524,51.2663318295891,12.9,91.1,Pice,4.0
-103.273792041906,55.2915662659965,18.6,54.2,Pice,4.0
-99.6325319809529,55.5514889092058,19.9,33.5,Pinu,4.0
-65.7395616013968,51.470447602396,12.8,60.3,Pinu,4.0
-102.213133868847,55.2145125036352,19.7,47.6,Pinu,4.0
-103.554055411551,55.1852049066587,18.6,54.2,Pinu,4.0
-110.955208541067,54.3362377919005,10.2,37.6,Pinu,4.0
-102.504458897634,55.1720119270316,19.7,47.6,Pice,4.0
-125.409585451262,50.8185577401926,15.2,0.0,Abie,4.0
-121.854111623254,51.816359244649,14.8,47.6,Pseu,4.0
-102.641785477692,54.9752494315854,19.7,47.6,Pinu,4.0
-115.228666371274,53.1141407729701,9.5,38.6,Pice,4.0
-98.1107208404873,54.645379939844,20.2,20.6,Pice,4.0
-103.69581625163,54.3176581536059,19.1,146.7,Pice,4.0
-109.81471562573,53.6214903415274,10.0,66.6,Popu,4.0
-125.644768000441,49.7803120035209,15.9,9.5,Pseu,4.0
-76.0411420415863,52.7737889549273,14.7,42.0,Pice,4.0
-76.4437125916675,52.8040443917431,14.7,42.0,Genc,4.0
-95.1255224684358,54.3473697734096,20.7,73.8,Pice,4.0
-96.1188918555008,54.1074201081713,20.7,73.8,Pice,4.0
-88.9072689312834,53.9896500606378,18.2,19.3,Pice,4.0
-121.657039992773,50.4107900042992,23.5,6.4,Pseu,4.0
-77.994007527425,52.4834345826247,14.7,42.0,Pice,4.0
-96.7534148818593,53.791538276974,20.5,33.6,Pice,4.0
-94.9235017416651,53.6349512232558,20.7,73.8,Pinu,4.0
-93.2064449999226,53.6433079996522,19.8,73.8,Pinu,4.0
-93.0773015529372,53.6534356442108,19.8,73.8,Pice,4.0
-94.8244771234667,53.5516469516777,20.7,73.8,Pice,4.0
-94.2271050119692,53.5473690746076,20.7,73.8,Pice,4.0
-95.1790577636782,53.4865613024972,20.7,73.8,Pice,4.0
-93.535853748077,53.4521491123597,19.8,73.8,Pice,4.0
-95.5371760204778,53.403315991813,20.7,73.8,Pice,4.0
-93.2115013996121,53.36520529993,19.8,73.8,Pice,4.0
-101.78602281013,53.1792097411695,19.9,41.8,Pice,4.0
-91.4489023887471,53.2598972445153,17.1,53.0,Pice,4.0
-69.3242463860054,50.0103450170159,15.4,130.0,Pice,4.0
-94.5255304859464,53.2958181839513,16.6,113.6,Pice,4.0
-96.0338572543925,53.2422157860416,20.1,49.8,Lari,4.0
-97.4605359945234,53.2148108804941,13.8,37.0,Pinu,4.0
-96.2444059030447,53.1343479826772,20.1,49.8,Pice,4.0
-95.9114608440298,53.1331014977123,20.1,49.8,Pice,4.0
-120.80867999592,49.7654699953023,20.5,47.2,Pseu,4.0
-115.873390490044,50.9278770026406,19.7,80.2,Pinu,4.0
-96.7310240602749,53.0811926538264,20.1,49.8,Pice,4.0
-94.037761113926,53.0801864812184,19.8,73.8,Pinu,4.0
-93.747742286362,53.0276596783186,19.8,73.8,Pice,4.0
-92.5308202594115,53.0298588119158,19.8,73.8,Pice,4.0
-78.4414577070338,51.7277252351736,15.8,0.0,Pice,4.0
-95.3288789617729,53.0513977349977,20.7,73.8,Pice,4.0
-75.7358902860653,51.1319335454196,15.9,118.2,Pice,4.0
-94.3888106194637,52.9101992224804,19.8,73.8,Pinu,4.0
-93.4998514049074,52.9234681603173,19.8,73.8,Pice,4.0
-120.6487830033,49.5962880003949,18.8,15.4,Pseu,4.0
-95.4727440481055,52.9190003610552,20.7,73.8,Pinu,4.0
-93.9311615475557,52.925226384246,19.8,73.8,Pice,4.0
-93.7517371380041,52.8579543488177,19.8,73.8,Pice,4.0
-95.4624127884966,52.874656495399,20.7,73.8,Pice,4.0
-95.0224160994779,52.8841656003976,20.7,73.8,Pinu,4.0
-91.5752935195461,52.7301539031541,18.8,22.5,Pice,4.0
-94.207611360812,52.7862552166153,19.8,73.8,Pice,4.0
-95.0400196703207,52.6496722387822,20.7,73.8,Pinu,4.0
-96.9895014969533,52.6663620071015,20.1,49.8,Pice,4.0
-75.7774891121719,50.8025395844564,10.2,60.8,Pinu,4.0
-75.5531187634333,50.6585481573144,10.2,60.8,Pice,4.0
-99.0312135119583,52.4348435374196,22.2,82.8,Popu,4.0
-94.2925641760045,52.4632883331728,19.8,73.8,Pinu,4.0
-95.2214403891557,52.4047064156611,20.1,49.8,Pinu,4.0
-92.2581674804813,52.4146299037683,18.8,22.5,Pice,4.0
-91.6942011248969,52.3779180876237,18.8,22.5,Pice,4.0
-115.631579998087,50.2033500032691,5.8,87.8,Lari,4.0
-95.9331234247227,52.1750601251553,20.1,49.8,Pinu,4.0
-86.0391140598825,51.7540825955898,18.1,52.6,Pice,4.0
-89.1269315985207,51.9146590981745,18.1,52.6,Pice,4.0
-88.856528905488,51.8949572237671,18.1,52.6,Pice,4.0
-94.8391298340674,52.0346987825948,20.7,73.8,Pinu,4.0
-86.9475409993834,51.7509469998905,10.2,54.3,Pice,4.0
-79.7982272327286,50.8516305373884,16.8,38.9,Pice,4.0
-95.6740533440252,51.9596136809625,22.3,95.9,Pice,4.0
-79.7685578025626,50.8130102784572,16.8,38.9,Pice,4.0
-91.4300240649985,51.858666515942,20.9,138.5,Pice,4.0
-82.9651335958034,50.8995502802359,19.1,51.0,Pice,4.0
-81.7546919880281,50.7505963994555,17.4,51.8,Pice,4.0
-78.7901455547041,50.249920852385,16.5,75.5,Pice,4.0
-96.2869252286456,51.5421055594328,24.9,0.0,Pinu,4.0
-81.3132655642248,50.6542481081304,16.3,74.6,Pice,4.0
-78.4991331483508,50.2111181557423,16.5,75.5,Pice,4.0
-116.393754017796,49.0202334292132,20.1,5.8,Abie,4.0
-86.0237651984881,50.868034454435,19.3,83.8,Pice,4.0
-97.4580421939804,51.2672493682134,4.3,22.1,Popu,4.0
-87.6886257995288,50.9614744001279,18.1,52.6,Pice,4.0
-81.6456856312408,50.259506962834,18.9,43.5,Pice,4.0
-92.9630859307999,50.9254990234829,21.2,167.3,Pice,4.0
-94.8553389993989,50.9175366378127,20.4,113.8,Pinu,4.0
-96.2294426014736,50.7969353056366,5.2,11.6,Popu,4.0
-97.8282018900455,50.5108850169399,12.7,5.4,Popu,4.0
-91.7223101832895,50.5134603507444,12.0,45.7,Pice,4.0
-90.2281422243486,50.4236153807215,21.2,179.6,Pice,4.0
-76.7342352980426,48.7211645090392,10.6,51.2,Abie,4.0
-75.746023154921,48.3652858862422,11.3,50.1,Pice,4.0
-76.1390470544571,48.4683426018279,11.6,64.6,Genc,4.0
-74.5353054399866,47.9121195824737,11.3,50.1,Genc,4.0
-96.3022095790776,49.7544242263672,3.4,90.2,Popu,4.0
-82.5968716482476,48.7640016971571,11.0,83.2,Pice,4.0
-96.1278233407936,49.4709428086324,12.7,85.2,Pice,4.0
-80.0643239606727,48.1936207430909,12.4,50.6,Genc,4.0
-94.7591911877536,49.394634016754,12.4,79.6,Popu,4.0
-76.6873182596118,47.5813384136393,11.6,64.6,Pice,4.0
-96.4280344781941,49.3114358563931,6.0,14.3,Lari,4.0
-95.8783692884434,49.2222271051408,12.7,85.2,Pinu,4.0
-81.6351519863639,48.0375149442154,8.9,11.6,Pice,4.0
-99.9846742616411,49.0418496610411,11.6,57.6,Popu,4.0
-96.4478705772185,49.1119357670929,12.7,51.4,Popu,4.0
-80.0455382805697,47.9538103414209,12.4,50.6,Genc,4.0
-84.930816599323,48.3952929997286,10.8,51.8,Pice,4.0
-80.4911870581151,47.767952706136,12.7,26.8,Pice,4.0
-81.5696840635474,47.4629101092434,8.9,11.6,Pice,4.0
-91.1822408999711,48.1275746001036,11.1,23.9,Popu,4.0
-83.9606661880361,47.4857377882438,12.2,32.8,Pice,4.0
-81.7548675533377,47.0739402770308,21.7,0.0,Pice,4.0
-77.5549520941374,45.92329810735,21.1,17.5,Pinu,4.0
-92.3009224347896,53.1935062336966,17.1,53.0,Pice,4.0
-98.6138281289515,58.0961947318349,14.3,67.6,Pice,4.0
-100.548523745285,56.1917025263364,18.7,56.3,Pice,4.0
-103.063438661036,57.00544649817,13.9,152.1,Pice,4.0
-103.096009465997,55.1756771912703,19.7,47.6,Pice,4.0
-104.737673857485,55.6814235696774,19.7,85.2,Pinu,4.0
-106.857643470785,57.1204457931048,18.9,99.6,Pinu,4.0
-107.560254524091,55.5606151354256,17.6,35.4,Pinu,4.0
-108.607821395129,58.2271610014443,18.9,21.3,Pinu,4.0
-107.88923557542,57.4955062372359,17.6,35.4,Pice,4.0
-112.803870020863,60.1915908268141,19.9,71.4,Pice,4.0
-113.405173389339,58.5340905879705,15.6,50.0,Lari,4.0
-113.260099740982,59.1796549895051,20.2,53.0,Pice,4.0
-116.101307982173,62.1974857223506,16.8,72.8,Pinu,4.0
-116.765458462209,59.8661225523633,14.8,43.8,Betu,4.0
-116.144022779513,59.8252959258688,16.8,72.8,Pice,4.0
-117.97011391888,60.4486841615504,16.6,72.8,Pice,4.0
-119.724219978963,56.6095595153988,12.1,5.3,Pice,4.0
-115.51172699225,65.9385622275278,12.4,31.3,Pice,4.0
-120.364367133076,60.6980762131946,17.2,45.2,Pice,4.0
-116.407871148514,57.8918781301151,17.5,40.8,Popu,4.0
-137.907395546062,65.7917796221628,14.3,33.4,Pice,4.0
-132.656055883399,65.9708560828191,1.9,16.5,Popu,4.0
-134.32011320446,65.6039591820642,14.0,0.0,Pice,4.0
-134.546017920804,65.9235594857687,14.0,0.0,Pice,4.0
-134.155470217707,64.2264643264647,15.0,59.2,Pice,4.0
-135.318394535322,65.9415789710219,14.0,0.0,Pice,4.0
-139.245575925695,67.3504612517977,15.3,27.9,Pice,4.0
