,BURNCLAS,Tm,P,tree_genus,ClusterID
376,4.0,11.9,43.9,1,5
377,4.0,11.1,18.2,1,4
378,4.0,17.8,0.0,5,4
379,4.0,14.4,5.0,1,4
380,4.0,10.7,67.7,1,6
381,4.0,11.3,76.7,0,6
382,4.0,11.6,2.6,1,4
383,4.0,9.8,30.6,1,5
384,4.0,10.7,15.0,0,4
385,4.0,17.9,43.7,1,5
386,4.0,11.7,8.6,1,4
387,4.0,10.5,31.8,1,5
388,4.0,9.1,72.8,1,6
389,4.0,10.4,45.2,1,5
390,4.0,6.8,9.0,0,4
391,4.0,11.9,43.9,1,5
392,4.0,11.9,8.9,1,4
393,4.0,8.3,87.5,1,0
394,4.0,9.8,8.4,1,4
395,4.0,16.6,42.4,1,5
396,4.0,11.5,3.0,1,4
397,4.0,11.3,29.2,0,5
398,4.0,9.3,53.2,1,6
399,4.0,3.6,12.4,1,4
400,4.0,1.2,3.0,1,4
401,4.0,11.3,29.2,1,5
402,4.0,6.8,9.0,3,4
403,4.0,11.1,3.6,1,4
404,4.0,10.5,31.8,1,5
405,4.0,10.2,49.9,1,6
406,4.0,7.8,13.6,0,4
407,4.0,14.3,102.8,0,0
408,4.0,11.9,43.9,1,5
409,4.0,10.5,28.4,1,5
410,4.0,10.7,67.7,1,6
411,4.0,11.9,43.9,1,5
412,4.0,10.5,31.8,1,5
413,4.0,12.7,6.0,0,4
414,4.0,8.3,87.5,1,0
415,4.0,14.4,5.0,0,4
416,4.0,8.3,87.5,3,0
417,4.0,4.6,10.9,1,4
418,4.0,14.8,5.4,1,4
419,4.0,11.7,9.0,0,4
420,4.0,14.8,80.6,0,0
421,4.0,11.9,8.9,1,4
422,4.0,15.1,55.8,0,6
423,4.0,2.7,1.9,1,4
424,4.0,9.8,8.4,1,4
425,4.0,8.3,87.5,1,0
426,4.0,15.2,117.6,0,0
427,4.0,11.7,8.6,1,4
428,4.0,8.1,32.7,1,5
429,4.0,-5.1,17.4,1,4
430,4.0,6.8,9.0,0,4
431,4.0,10.4,45.2,1,5
432,4.0,11.8,16.6,1,4
433,4.0,12.9,8.8,3,4
434,4.0,11.6,24.3,1,4
435,4.0,8.7,13.1,1,4
436,4.0,10.9,52.4,1,6
437,4.0,13.4,63.8,1,6
438,4.0,6.8,9.0,0,4
439,4.0,12.2,16.7,3,4
440,4.0,14.4,50.0,0,6
441,4.0,11.6,24.3,1,4
442,4.0,9.1,72.8,0,6
443,4.0,18.2,21.3,5,4
444,4.0,2.4,47.3,1,5
445,4.0,21.8,8.0,7,4
446,4.0,14.9,88.2,0,0
447,4.0,16.0,40.0,0,5
448,4.0,9.6,0.2,0,4
449,4.0,15.2,117.6,0,0
450,4.0,5.2,37.0,7,5
451,4.0,-1.7,102.0,7,0
452,4.0,14.7,1.0,7,4
453,4.0,4.3,9.6,1,4
454,4.0,14.9,88.2,0,0
455,4.0,1.7,10.0,7,4
456,4.0,10.3,44.8,3,5
457,4.0,13.2,188.9,1,1
458,4.0,14.2,56.3,3,6
459,4.0,-0.4,7.9,3,4
460,4.0,15.5,9.4,3,4
461,4.0,17.2,8.2,3,4
462,4.0,5.6,16.0,1,4
463,4.0,19.2,18.8,7,4
464,4.0,19.2,18.8,7,4
465,4.0,12.4,26.1,1,5
466,4.0,16.0,15.4,7,4
467,4.0,16.1,0.4,3,4
468,4.0,18.4,8.4,7,4
469,4.0,14.3,13.8,0,4
470,4.0,14.3,13.8,0,4
471,4.0,16.5,58.8,1,6
472,4.0,19.3,32.0,7,5
473,4.0,6.4,47.1,7,5
474,4.0,12.6,66.4,7,6
475,4.0,11.2,60.8,7,6
476,4.0,15.7,4.7,2,4
477,4.0,-1.3,27.5,1,5
478,4.0,16.6,22.0,3,4
479,4.0,10.1,45.6,7,5
480,4.0,21.1,9.8,7,4
481,4.0,4.9,27.4,11,5
482,4.0,9.2,10.4,1,4
483,4.0,16.5,58.8,0,6
484,4.0,19.7,19.6,7,4
485,4.0,13.4,53.6,7,6
486,4.0,2.6,6.9,3,4
487,4.0,6.9,12.4,7,4
488,4.0,6.9,34.2,7,5
489,4.0,15.3,14.0,7,4
490,4.0,16.8,13.4,7,4
491,4.0,11.8,7.4,1,4
492,4.0,23.3,0.0,7,4
493,4.0,14.9,88.2,0,0
494,4.0,8.9,113.9,1,0
495,4.0,1.2,11.6,7,4
496,4.0,12.6,88.6,3,0
497,4.0,17.6,23.8,7,4
498,4.0,15.2,117.6,0,0
499,4.0,9.9,69.4,3,6
500,4.0,2.4,21.5,7,4
501,4.0,18.8,10.2,7,4
502,4.0,22.5,1.6,7,4
503,4.0,18.2,21.3,7,4
504,4.0,8.8,17.4,3,4
505,4.0,4.5,5.3,3,4
506,4.0,7.6,102.8,7,0
507,4.0,7.0,25.0,7,4
508,4.0,4.3,8.3,3,4
509,4.0,15.2,117.6,0,0
510,4.0,5.6,47.9,7,5
511,4.0,5.6,47.9,7,5
512,4.0,16.5,58.8,0,6
513,4.0,18.4,7.2,1,4
514,4.0,18.3,13.0,3,4
515,4.0,11.3,26.4,3,5
516,4.0,15.2,91.4,1,0
517,4.0,2.3,14.6,7,4
518,4.0,5.8,18.3,7,4
519,4.0,5.8,18.3,7,4
520,4.0,15.1,82.0,0,0
521,4.0,12.8,6.8,3,4
522,4.0,15.8,42.8,0,5
523,4.0,19.3,99.6,3,0
524,4.0,5.8,17.0,0,4
525,4.0,19.3,99.6,3,0
526,4.0,13.4,30.0,0,5
527,4.0,18.7,40.3,3,5
528,4.0,7.8,15.0,1,4
529,4.0,4.9,0.0,0,4
530,4.0,5.7,15.8,0,4
531,4.0,16.2,42.8,0,5
532,4.0,4.9,0.0,0,4
533,4.0,17.7,79.3,1,0
534,4.0,16.2,42.8,0,5
535,4.0,3.9,50.2,1,6
536,4.0,13.2,90.2,1,0
537,4.0,18.6,23.8,1,4
538,4.0,20.6,39.4,3,5
539,4.0,18.8,122.6,0,1
540,4.0,8.5,28.3,1,5
541,4.0,20.0,13.5,1,4
542,4.0,3.8,32.3,1,5
543,4.0,18.7,40.3,3,5
544,4.0,18.6,149.4,3,1
545,4.0,18.6,23.8,0,4
546,4.0,10.9,63.9,1,6
547,4.0,15.3,84.6,3,0
548,4.0,18.0,170.2,3,1
549,4.0,19.3,99.6,0,0
550,4.0,20.6,39.4,3,5
551,4.0,15.8,15.5,0,4
552,4.0,18.7,80.0,3,0
553,4.0,22.9,70.3,3,6
554,4.0,15.3,125.4,0,1
555,4.0,18.0,170.2,0,1
556,4.0,19.2,37.4,0,5
557,4.0,16.2,42.8,0,5
558,4.0,15.2,99.6,5,0
559,4.0,18.7,40.3,3,5
560,4.0,5.7,15.8,1,4
561,4.0,18.7,40.3,3,5
562,4.0,3.8,114.8,5,0
563,4.0,18.7,40.3,1,5
564,4.0,18.7,40.3,3,5
565,4.0,18.6,23.8,0,4
566,4.0,3.9,50.2,1,6
567,4.0,13.2,68.9,0,6
568,4.0,20.0,13.5,0,4
569,4.0,19.2,142.8,5,1
570,4.0,16.5,133.5,0,1
571,4.0,7.7,76.0,0,6
572,4.0,20.0,13.5,3,4
573,4.0,19.6,39.4,0,5
574,4.0,15.8,65.4,3,6
575,4.0,18.0,170.2,3,1
576,4.0,8.3,21.8,1,4
577,4.0,20.0,13.5,3,4
578,4.0,14.9,22.3,0,4
579,4.0,8.5,27.0,1,5
580,4.0,20.6,39.4,3,5
581,4.0,10.8,63.1,0,6
582,4.0,5.2,37.1,3,5
583,4.0,16.9,123.8,3,1
584,4.0,10.9,63.9,1,6
585,4.0,18.7,40.3,0,5
586,4.0,18.0,170.2,0,1
587,4.0,13.9,56.0,1,6
588,4.0,19.6,39.4,0,5
589,4.0,7.8,15.0,2,4
590,4.0,13.7,53.0,0,6
591,4.0,14.3,70.8,0,6
592,4.0,18.7,80.0,0,0
593,4.0,7.8,15.0,1,4
594,4.0,18.7,40.3,0,5
595,4.0,7.7,76.0,0,6
596,4.0,17.7,79.3,3,0
597,4.0,20.0,13.5,0,4
598,4.0,10.8,63.1,0,6
599,4.0,19.6,39.4,1,5
600,4.0,17.4,102.6,0,0
601,4.0,20.6,39.4,3,5
602,4.0,19.3,99.6,1,0
603,4.0,18.7,40.3,3,5
604,4.0,18.7,80.0,0,0
605,4.0,18.6,149.4,1,1
606,4.0,14.1,24.7,0,5
607,4.0,7.3,21.9,3,4
608,4.0,14.5,13.6,0,4
609,4.0,19.6,39.4,1,5
610,4.0,8.8,72.9,1,6
611,4.0,20.0,13.5,3,4
612,4.0,19.2,35.0,1,5
613,4.0,18.6,23.8,1,4
614,4.0,17.4,102.6,0,0
615,4.0,20.0,13.5,3,4
616,4.0,11.3,47.4,0,5
617,4.0,20.0,13.5,3,4
618,4.0,20.6,39.4,3,5
619,4.0,20.0,13.5,0,4
620,4.0,19.6,30.6,1,5
621,4.0,4.2,54.0,3,6
622,4.0,19.3,99.6,0,0
623,4.0,8.3,21.8,1,4
624,4.0,13.2,68.9,0,6
625,4.0,19.3,99.6,0,0
626,4.0,13.7,53.0,0,6
627,4.0,7.7,76.0,0,6
628,4.0,14.9,22.3,3,4
629,4.0,22.7,13.2,1,4
630,4.0,7.7,76.0,0,6
