X,Y,BURNCLAS,Tm,P,tree_genus
-114.679082959587,55.3879053197299,1.0,11.0,22.6,Lari
-107.845651700583,56.3956606995144,4.0,14.8,86.6,Pinu
-91.1473020846127,57.0045990569002,4.0,18.4,32.0,Pice
-115.468162620138,55.0960091445256,4.0,9.8,30.6,Lari
-110.740790689925,55.9812477499118,4.0,11.7,8.6,Pice
-114.69571837593,55.2657842178894,4.0,11.5,8.0,Popu
-115.509481233477,54.957733214039,2.0,9.8,30.6,Pice
-115.340156703059,54.8554129972398,4.0,10.7,45.0,Pice
-104.163055992834,56.2686490294129,4.0,13.2,107.8,Pice
-95.2545741970387,56.5898429189914,4.0,13.4,30.0,Pice
-102.245929301298,56.3156217001916,4.0,16.9,123.8,Lari
-116.897941956406,54.2506568579448,4.0,6.8,9.0,Pice
-103.964024987946,56.1223833515394,4.0,13.2,107.8,Pinu
-103.586537109934,56.0067664252576,4.0,12.2,10.4,Pice
-104.566501320942,56.0591265983394,4.0,13.2,107.8,Lari
-104.495718792445,55.8715180902696,4.0,17.6,201.4,Lari
-116.753899836292,54.0788077175187,2.0,6.8,9.0,Popu
-71.7732786715591,53.6285413339626,4.0,14.6,59.5,Pice
-112.888355079991,54.4904642528818,4.0,10.7,27.5,Pice
-72.813842670045,53.5473450850649,4.0,11.8,88.0,Genc
-109.571418469631,54.4592921605026,4.0,13.0,0.0,Popu
-69.7228587037924,52.2431957218025,4.0,14.2,52.1,Genc
-115.706868583915,53.1975392847582,4.0,8.7,13.1,Pice
-85.1316269326505,54.7757990760755,4.0,14.4,90.8,Pice
-74.2976758795877,52.9129087025106,4.0,14.6,59.5,Pinu
-72.4025802474676,52.3964987562506,4.0,12.2,37.2,Pice
-91.0024826942801,54.7459665697629,4.0,14.8,15.5,Pice
-77.613272742771,53.3347145170561,4.0,14.7,38.2,Pice
-70.9875483975357,51.948928148249,4.0,12.2,37.2,Pice
-88.6318156157897,54.561879593299,4.0,17.1,32.0,Pice
-94.0834277446344,54.6754955990655,4.0,16.2,42.8,Pice
-115.133938714336,52.6791632968073,2.0,10.7,67.7,Pinu
-90.8633397297576,54.4755403792064,4.0,14.8,15.5,Pice
-73.8694026721331,52.3861871922601,4.0,11.8,88.0,Pice
-114.967177704803,52.6246835454804,1.0,8.3,87.5,Pinu
-74.0143563197869,52.3737271562271,4.0,11.8,88.0,Genc
-91.528879776765,54.367908658227,4.0,18.4,32.0,Pice
-85.7321269456022,53.9388464482844,4.0,14.4,90.8,Pice
-90.1542617287873,54.236099829521,4.0,14.8,15.5,Pice
-96.4358566064612,54.2169345312956,4.0,18.8,122.6,Pice
-96.3131979508571,54.0902455288326,4.0,18.8,122.6,Pice
-77.437923198405,52.6271388239444,4.0,12.5,31.2,Pice
-96.6111668158116,53.8901556855711,4.0,18.8,122.6,Pice
-115.905924727435,51.7256762235242,4.0,11.1,6.0,Abie
-76.5824265022269,52.2007953581761,4.0,12.5,31.2,Pice
-91.9890204143392,53.7299149123485,4.0,18.4,32.0,Pice
-115.749572361156,51.6777181249572,4.0,9.5,1.0,Pinu
-93.0178005503886,53.7068354871546,4.0,19.0,99.6,Pice
-90.8244525905323,53.6601072555356,4.0,17.1,32.0,Pice
-105.041337212129,53.2050193766638,4.0,13.3,4.4,Popu
-89.7789820994741,53.4815351005138,4.0,17.1,32.0,Pice
-116.749944036982,51.2749716441655,4.0,10.9,53.6,Pseu
-93.8093676817878,53.5331370157339,4.0,19.0,99.6,Abie
-90.5462851967056,53.3750158368993,4.0,17.1,32.0,Pice
-90.9344933147357,53.3872220642341,4.0,18.4,32.0,Pice
-89.9225269155128,53.2985039738068,4.0,17.1,32.0,Pice
-93.66673836327,53.3857002904472,4.0,19.0,99.6,Pice
-88.7247703124573,53.1962177686081,4.0,18.2,118.6,Pice
-93.0194234918251,53.2823899615314,4.0,19.0,99.6,Pice
-91.4052413194062,53.1155691355864,4.0,15.8,15.5,Pice
-94.2057319496456,53.1285057926651,4.0,19.0,99.6,Pice
-77.3834669188268,51.6193315788781,4.0,8.1,67.5,Pice
-93.5104055174894,53.0232165317763,4.0,19.0,99.6,Pice
-92.9795628668824,52.8908158164151,4.0,19.0,99.6,Pice
-91.1029410519615,52.725425025314,4.0,18.4,32.0,Pice
-95.8038528178771,52.793827202673,4.0,18.7,40.3,Pinu
-93.273792038004,52.8095950024378,4.0,19.0,99.6,Pice
-90.0925624712848,52.4780490068428,4.0,19.7,97.2,Pice
-95.3510642934498,52.757816034329,4.0,19.3,99.6,Pice
-93.5559242126741,52.6552448345632,4.0,19.0,99.6,Pice
-89.7467874175538,52.6638448097949,4.0,17.1,32.0,Pice
-116.09020999281,50.53663000325,4.0,11.0,50.6,Pseu
-92.2073978460786,52.638160835798,4.0,11.8,23.5,Pice
-82.3805898266174,51.8869372491018,4.0,12.0,54.8,Pice
-91.6671836495536,52.586923331406,4.0,18.4,32.0,Pice
-77.6350569790701,51.0983626018531,4.0,15.1,75.5,Pice
-73.0618777323658,50.1832988226988,4.0,16.9,59.0,Genc
-93.0673320365387,52.5550275512764,4.0,19.0,99.6,Pice
-89.2703888397003,52.4043245538968,4.0,18.2,118.6,Pice
-93.5912924928757,52.4599809425292,4.0,19.0,99.6,Pice
-88.5929413830301,52.2449207643516,4.0,18.2,118.6,Pice
-94.7740676125433,52.3348608084991,4.0,19.3,99.6,Pice
-94.0754627368454,52.3063338284435,4.0,19.0,99.6,Pice
-92.5484801061287,52.2774612784346,4.0,19.0,99.6,Pice
