X,Y,Tm,P,tree_genus,BURNCLAS
-108.913754611297,59.8683816384909,17.7,22.0,Pice,4.0
-107.162194003275,60.0444272711005,14.6,49.4,Pice,4.0
-104.73548150034,60.2000942188826,14.6,49.4,Pice,4.0
-114.111554145891,59.1059692722998,19.0,38.8,Pice,4.0
-121.923302088803,57.5004294675966,13.4,11.2,Pinu,4.0
-107.271734933671,59.9216536290424,15.3,37.5,Pice,4.0
-128.8735599993,55.4089499990741,11.9,33.4,Tsug,4.0
-125.226278359972,56.503716239811,14.1,18.9,Abie,4.0
-108.098440243148,59.7097518360955,17.4,100.1,Pinu,4.0
-124.828510501943,56.3348055557347,18.5,14.8,Pice,4.0
-107.978588803416,59.4822864094925,14.6,49.4,Betu,4.0
-101.333783338962,59.9546694602817,11.9,51.0,Pice,4.0
-127.822179630858,55.3699585999517,10.1,69.7,Tsug,4.0
-105.975872173672,59.4723410223865,16.8,56.7,Pice,4.0
-124.070109636261,56.3149685259312,10.2,5.5,Abie,4.0
-59.2827498083356,54.1612943200836,14.6,58.2,Pice,4.0
-123.276873671142,56.3646971799719,16.3,7.1,Abie,4.0
-123.029271424887,56.4980022264618,13.4,11.2,Pinu,4.0
-106.514459393455,59.302230126992,16.8,56.7,Pice,4.0
-60.8082798231196,54.5755551136199,13.0,45.0,Pice,4.0
-123.589788575795,56.1270072241243,17.8,8.1,Abie,4.0
-109.925127023381,58.7748013356327,17.7,22.0,Pinu,4.0
-69.2691570896606,56.7161753613615,10.7,61.1,Pice,4.0
-108.803993154747,58.8621919533783,17.4,100.1,Pinu,4.0
-123.503957923459,56.0000300482669,16.3,7.1,Abie,4.0
-112.335246426348,58.3072599274334,19.3,89.2,Lari,4.0
-109.979576198116,58.5809680788033,19.0,89.2,Pinu,4.0
-128.385045007144,54.5145950032725,17.6,30.2,Tsug,4.0
-113.731138822205,58.0607620318896,16.2,53.8,Popu,4.0
-107.299437119796,58.798964033401,16.8,56.7,Pinu,4.0
-108.828866738742,58.5809628067486,15.3,37.5,Pinu,4.0
-109.590491747748,58.4921354385979,19.0,89.2,Pinu,4.0
-107.702639407634,58.6456975870636,15.3,37.5,Pinu,4.0
-60.8101691308219,54.006905222153,17.3,95.0,Pice,4.0
-107.299790557093,58.7029637469453,14.6,49.4,Pice,4.0
-122.65275999869,55.9378400044316,16.3,7.1,Pinu,4.0
-122.439898350913,55.8858332626939,17.7,29.0,Abie,4.0
-107.820550966596,58.4353919514335,17.4,100.1,Pice,4.0
-115.666763251581,57.2893119161237,18.6,72.3,Pice,1.0
-109.300041567061,58.1326052280813,12.1,29.1,Pinu,4.0
