X,Y,Tm,P,S,BS,Tx,POLY_HA,tree_genus,BURNCLAS
-125.249907995238,59.5744530045328,12.7,25.0,,,31.1,305.883378229,Popu,4.0
-127.347760523963,58.9543382439661,11.4,29.4,,,27.0,435.355779354,Pice,4.0
-124.303599991815,59.7487299995633,12.7,25.0,,,31.1,139.229325771,Popu,4.0
-127.296594168057,58.9400340510204,11.4,29.4,,,27.0,79.1536675036,Pinu,4.0
-122.768190254025,60.0891741921522,16.1,31.3,,,30.9,763.958850372,Pice,4.0
-124.44581692249,59.6730691526301,18.0,78.8,,,30.9,2337.48822373,Pice,4.0
-125.609860997026,59.3573090017751,12.7,25.0,,,31.1,343.400612528,Pice,4.0
-127.246353743049,58.8648009733946,11.4,29.4,,,27.0,863.898040235,Pinu,4.0
-121.952263933849,60.1550026970627,16.1,31.3,,,30.9,4312.99526354,Pice,4.0
-130.423316993614,57.8186799991689,10.7,9.0,,,25.3,9.42045818705,Pinu,4.0
-120.621643081785,60.429913551878,16.0,11.7,,,30.3,4534.86681614,Pice,4.0
-117.126467010784,60.9771159552245,18.0,25.2,,,29.6,2990.30008292,Pice,4.0
-120.973273520676,60.0964863620014,12.4,9.0,,,30.4,2899.57942299,Pice,4.0
-119.605963391878,60.253709045384,12.4,9.0,,,30.4,11350.5412126,Pice,4.0
-125.00189699368,58.9923720044998,12.1,22.0,4.0,,29.3,223.740871414,Pice,4.0
-117.879831139777,60.6386801218181,18.0,25.2,,,29.6,1246.68803359,Pice,4.0
-121.323736207016,59.8462345737056,16.0,11.7,,,30.3,12773.6777506,Pice,4.0
-124.145009996075,58.9742200039956,12.1,22.0,4.0,,29.3,18070.6849456,Pice,4.0
-125.215394460753,58.7770731424602,12.1,22.0,4.0,,29.3,540.616682807,Pinu,4.0
-126.742997997905,58.2390200001391,12.6,55.5,0.0,,27.5,4508.79226376,Abie,4.0
-119.189916214601,60.0321761132073,18.0,25.2,,,29.6,6284.221951,Pice,4.0
-121.245684456637,59.6196865812724,16.6,41.8,0.0,,33.5,3742.68442196,Pice,4.0
-116.99790761995,60.489385973142,18.0,25.2,,,29.6,219.150508982,Pice,4.0
-115.62945037695,60.5607407506999,14.9,22.4,,,29.4,28779.1081068,Pice,4.0
-120.650870416949,59.6823298913378,16.0,11.7,,,30.3,2023.05718021,Pice,4.0
-118.141565143974,60.2062214348282,10.2,2.1,,,29.1,977.23555169,Pice,4.0
-120.177316701811,59.7582526672823,16.0,11.7,,,30.3,2648.85037856,Pice,4.0
-118.620160122935,60.1090947665584,18.0,25.2,,,29.6,767.006567511,Pice,4.0
-114.443918877835,60.7831588489238,14.9,22.4,,,29.4,11181.7229359,Pice,4.0
-125.244444065177,58.4841708525078,12.1,22.0,4.0,,29.3,1883.87035419,Abie,4.0
-121.153035007185,59.4664361308208,13.1,31.8,0.0,,31.0,908.824199541,Pice,4.0
-122.376013001739,59.2039279961402,16.6,41.8,0.0,,33.5,1050.80297562,Pice,4.0
-120.097813723535,59.6142127232345,16.6,41.8,0.0,,33.5,5502.43215364,Pice,4.0
-118.179138385702,60.0011472673862,18.0,25.2,,,29.6,136.232719189,Pinu,4.0
-115.691684520366,60.4520044433849,16.1,62.0,,,26.1,23.6912250073,Pinu,4.0
-119.564737433203,59.7254586177009,16.1,22.2,,,31.5,94.3392947562,Pice,4.0
-112.126726440023,60.7820233198093,9.4,4.6,0.0,,27.6,27136.3702658,Pinu,4.0
-117.475222533887,60.0896014142663,18.0,25.2,,,29.6,5779.32933259,Pinu,4.0
-114.315325591422,60.5970574440154,14.9,22.4,,,29.4,1941.13712093,Pice,4.0
-114.134719261491,60.6591300380116,14.9,22.4,,,29.4,1081.33751195,Pinu,4.0
-125.728295907286,58.2106270015423,17.2,88.0,0.0,,30.1,1626.75949287,Pinu,4.0
-121.09812127697,59.350583003174,16.6,41.8,0.0,,33.5,194.423223018,Pice,4.0
-113.372443945962,60.6825171120715,16.7,39.0,0.0,,28.6,357.832516114,Pice,4.0
-118.098272845807,59.9415045443152,18.0,25.2,,,29.6,1073.51436584,Pice,4.0
-118.480380132567,59.8202918821466,18.0,25.2,,,29.6,4162.24073726,Pice,4.0
-123.122283007093,58.6941620031067,17.2,88.0,0.0,,30.1,3994.49883571,Pice,4.0
-117.150708369928,60.0047076453093,16.9,33.4,,,32.8,87.9488536423,Pice,4.0
-121.922675002426,58.9808059957045,16.6,41.8,0.0,,33.5,1399.38066802,Pice,4.0
-118.866302673524,59.6504757042865,16.1,22.2,,,31.5,1627.52218884,Pice,4.0
-110.612989488561,60.8581082865992,12.3,38.8,,,25.5,17522.7739607,Pice,4.0
-114.029600356802,60.4783549885243,10.2,1.0,,,30.9,496.082829463,Pinu,4.0
-117.712932120783,59.8096594921805,18.0,25.2,,,29.6,7418.0447528,Pinu,4.0
-119.946146137677,59.1756101385486,16.6,41.8,0.0,,33.5,15567.2682319,Popu,4.0
-115.261668675794,60.1174021670383,14.9,22.4,,,29.4,1138.05975446,Popu,4.0
-116.752230601233,59.8440090008515,16.1,22.2,,,31.5,208.69678619,Pinu,4.0
-111.947039050032,60.4989546504491,15.6,17.4,,,30.3,15061.2969184,Pice,4.0
-117.171488924226,59.7579269730783,16.1,22.2,,,31.5,542.659863105,Pice,4.0
-113.915160763042,60.2803035059939,16.2,49.6,,,31.7,559.330505465,Popu,4.0
-114.719651864855,60.0401702895969,14.9,22.4,,,29.4,18572.7598051,Pice,4.0
-105.396734353702,61.2111837022777,13.6,17.4,,,28.8,86.6511133239,Pice,4.0
-113.63314559266,60.1877514748415,16.2,49.6,,,31.7,14559.1637288,Pice,4.0
-113.234080940837,60.1863821027397,15.8,18.9,0.0,,29.8,175.929669295,Popu,4.0
-111.485686527514,60.4352126790787,15.6,17.4,,,30.3,464.339421541,Popu,4.0
-113.758711644942,60.080337243097,16.2,49.6,,,31.7,804.658883952,Pinu,4.0
-122.627895760298,58.2557254791359,17.2,88.0,0.0,,30.1,7803.83190008,Pice,4.0
-117.975550190696,59.261400448554,16.1,22.2,,,31.5,14154.9783743,Pice,4.0
-117.895554943899,59.3584137812709,16.9,33.4,,,32.8,589.210492373,Pice,4.0
-111.491441429083,60.3454475571823,15.6,17.4,,,30.3,687.968928984,Pinu,4.0
-117.071066619739,59.4767372593419,16.9,33.4,,,32.8,7.96003438118,Pice,4.0
-113.355260799905,60.087812473694,15.9,71.0,0.0,,29.5,55.0417254878,Pice,4.0
-111.584531236554,60.2928127318937,15.6,17.4,,,30.3,74.843583408,Pinu,4.0
-112.891707561628,60.078663059666,15.8,18.9,0.0,,29.8,4332.48010119,Popu,4.0
-108.231135128141,60.6298964631721,15.1,106.4,,,26.7,282.741959856,Pinu,4.0
-117.642306257568,59.2208881524495,16.1,22.2,,,31.5,662.635870526,Pice,4.0
-121.381151001584,58.4001349967811,18.1,86.2,0.0,,30.5,307.031032543,Pice,4.0
-115.451292771591,59.5650022178366,14.9,22.4,,,29.4,999.053753456,Pice,4.0
-111.262519072361,60.198213505065,15.6,17.4,,,30.3,160.931455801,Pinu,4.0
-115.333810719547,59.5672896611638,14.9,22.4,,,29.4,261.631091116,Pice,4.0
-122.476753232656,58.0479106883479,13.1,31.8,0.0,,31.0,1966.81487077,Popu,4.0
-106.817190273714,60.6175593060143,13.6,17.4,,,28.8,1052.23160603,Pice,4.0
-124.203102859878,57.6252732532886,12.0,10.6,0.0,,25.2,98.5118954332,Abie,4.0
-123.955396654617,57.641908181974,12.0,10.6,0.0,,25.2,1280.72345683,Abie,4.0
-116.837726515656,59.2303113921064,16.9,33.4,,,32.8,109.03089848,Pice,4.0
-121.445804006418,58.2517179963196,18.1,86.2,0.0,,30.5,100.437580159,Pice,4.0
